Publication Type,Authors,Book Authors,Book Editors,Book Group Authors,Author Full Names,Book Author Full Names,Group Authors,Article Title,Source Title,Book Series Title,Book Series Subtitle,Language,Document Type,Conference Title,Conference Date,Conference Location,Conference Sponsor,Conference Host,Author Keywords,Keywords Plus,Abstract,Addresses,Affiliations,Reprint Addresses,Email Addresses,Researcher Ids,ORCIDs,Funding Orgs,Funding Name Preferred,Funding Text,Cited References,Cited Reference Count,"Times Cited, WoS Core","Times Cited, All Databases",180 Day Usage Count,Since 2013 Usage Count,Publisher,Publisher City,Publisher Address,ISSN,eISSN,ISBN,Journal Abbreviation,Journal ISO Abbreviation,Publication Date,Publication Year,Volume,Issue,Part Number,Supplement,Special Issue,Meeting Abstract,Start Page,End Page,Article Number,DOI,DOI Link,Book DOI,Early Access Date,Number of Pages,WoS Categories,Web of Science Index,Research Areas,IDS Number,Pubmed Id,Open Access Designations,Highly Cited Status,Hot Paper Status,Date of Export,UT (Unique WOS ID),Web of Science Record
C,"Tajvar, P; Barbosa, FS; Tumova, J",,,IEEE,"Tajvar, Pouria; Barbosa, Fernando S.; Tumova, Jana",,,Safe Motion Planning for an Uncertain Non-Holonomic System with Temporal Logic Specification,2020 IEEE 16TH INTERNATIONAL CONFERENCE ON AUTOMATION SCIENCE AND ENGINEERING (CASE),IEEE International Conference on Automation Science and Engineering,,,,16th IEEE International Conference on Automation Science and Engineering (CASE),"AUG 20-21, 2020",ELECTR NETWORK,IEEE,,,,,,,,,"Barbosa, Fernando/DXW-3185-2022","Tajvar, Pouria/0000-0001-9516-6764",,,,,,,,,,,,,2161-8070,,978-1-7281-6904-0,,,,2020,,,,,,,349,354,,10.1109/case48305.2020.9216891,http://dx.doi.org/10.1109/case48305.2020.9216891,,,,,,,,,,,,,WOS:000612200600050,View Full Record in Web of Science
C,"Joshi, RP; Shibata, T; Ogata, K; Matsumoto, Y",,,IEEE,"Joshi, Ravi Prakash; Shibata, Tomohiro; Ogata, Kunihiro; Matsumoto, Yoshio",,,Quantitative Evaluation of Clothing Assistance using Whole-Body Robotic Simulator of the Elderly,2019 28TH IEEE INTERNATIONAL CONFERENCE ON ROBOT AND HUMAN INTERACTIVE COMMUNICATION (RO-MAN),IEEE RO-MAN,,,,28th IEEE International Conference on Robot and Human Interactive Communication (RO-MAN),"OCT 14-18, 2019","New Delhi, INDIA",IEEE,,,,,,,,,"Joshi, Ravi Prakash/S-4845-2019","Joshi, Ravi Prakash/0000-0003-1264-6100",,,,,,,,,,,,,1944-9445,,978-1-7281-2622-7,,,,2019,,,,,,,,,,10.1109/ro-man46459.2019.8956308,http://dx.doi.org/10.1109/ro-man46459.2019.8956308,,,,,,,,,,,,,WOS:000533896300024,View Full Record in Web of Science
J,"Xu, FS; Huang, R; Cheng, H; Qiu, J; Xiang, SQ; Shi, CB; Ma, WH",,,,"Xu, Fashu; Huang, Rui; Cheng, Hong; Qiu, Jing; Xiang, Shiqiang; Shi, Congbin; Ma, Wenhao",,,Stair-ascent strategies and performance evaluation for a lower limb exoskeleton,INTERNATIONAL JOURNAL OF INTELLIGENT ROBOTICS AND APPLICATIONS,,,,,,,,,,,,,,,,,"Xu, Fashu/JVN-8560-2024","Xu, Fashu/0000-0001-9696-3933",,,,,,,,,,,,,2366-5971,2366-598X,,,,SEP,2020,4,3,,,,,278,293,,10.1007/s41315-020-00123-6,http://dx.doi.org/10.1007/s41315-020-00123-6,,APR 2020,,,,,,,,,,,WOS:000523093000002,View Full Record in Web of Science
J,"Lauretti, C; Cordella, F; Guglielmelli, E; Zollo, L",,,,"Lauretti, Clemente; Cordella, Francesca; Guglielmelli, Eugenio; Zollo, Loredana",,,Learning by Demonstration for Planning Activities of Daily Living in Rehabilitation and Assistive Robotics,IEEE ROBOTICS AND AUTOMATION LETTERS,,,,,,,,,,,,,,,,,"Zollo, Loredana/AAB-9645-2020; Cordella, Francesca/K-1793-2018; Lauretti, Clemente/ACO-6470-2022","Lauretti, Clemente/0000-0003-0760-642X; Zollo, Loredana/0000-0002-8015-010X",,,,,,,,,,,,,2377-3766,,,,,JUL,2017,2,3,,,,,1375,1382,,10.1109/LRA.2017.2669369,http://dx.doi.org/10.1109/LRA.2017.2669369,,,,,,,,,,,,,WOS:000413739500019,View Full Record in Web of Science
C,"Huan, NY; Fyhn, SH; De Petris, P; Alexis, K",,,IEEE,"Huan, Nguyen; Fyhn, Sondre Holm; De Petris, Paolo; Alexis, Kostas",,,Motion Primitives-based Navigation Planning using Deep Collision Prediction,"2022 IEEE INTERNATIONAL CONFERENCE ON ROBOTICS AND AUTOMATION, ICRA 2022",IEEE International Conference on Robotics and Automation ICRA,,,,IEEE International Conference on Robotics and Automation (ICRA),"MAY 23-27, 2022","Philadelphia, PA","IEEE,IEEE Robot & Automat Soc",,,,,,,,,"Alexis, Kostas/HKM-4911-2023",,,,,,,,,,,,,,1050-4729,2577-087X,978-1-7281-9681-7,,,,2022,,,,,,,9660,9667,,10.1109/ICRA46639.2022.9812231,http://dx.doi.org/10.1109/ICRA46639.2022.9812231,,,,,,,,,,,,,WOS:000941277602033,View Full Record in Web of Science
J,"Field, M; Stirling, D; Pan, ZX; Naghdy, F",,,,"Field, Matthew; Stirling, David; Pan, Zengxi; Naghdy, Fazel",,,Learning Trajectories for Robot Programing by Demonstration Using a Coordinated Mixture of Factor Analyzers,IEEE TRANSACTIONS ON CYBERNETICS,,,,,,,,,,,,,,,,,"pan, zengxi/AAO-2505-2020; Field, Matthew/J-2810-2015","pan, zengxi/0000-0002-1788-2543; Field, Matthew/0000-0002-6169-6721",,,,,,,,,,,,,2168-2267,2168-2275,,,,MAR,2016,46,3,,,,,706,717,,10.1109/TCYB.2015.2414277,http://dx.doi.org/10.1109/TCYB.2015.2414277,,,,,,,,25826815,,,,,WOS:000370963500011,View Full Record in Web of Science
J,"Löckel, S; Peters, J; van Vliet, P",,,,"Lockel, Stefan; Peters, Jan; van Vliet, Peter",,,A Probabilistic Framework for Imitating Human Race Driver Behavior,IEEE ROBOTICS AND AUTOMATION LETTERS,,,,,,,,,,,,,,,,,"Peters, Jan/D-5068-2009","Peters, Jan/0000-0002-5266-8091",,,,,,,,,,,,,2377-3766,,,,,APR,2020,5,2,,,,,2086,2093,,10.1109/LRA.2020.2970620,http://dx.doi.org/10.1109/LRA.2020.2970620,,,,,,,,,,,,,WOS:000526521400007,View Full Record in Web of Science
C,"Fu, J; Wang, CQ; Du, JY; Luo, F",,"Yu, H; Liu, J; Liu, L; Ju, Z; Liu, Y; Zhou, D",,"Fu, Jian; Wang, ChaoQi; Du, JinYu; Luo, Fan",,,Concurrent Probabilistic Motion Primitives for Obstacle Avoidance and Human-Robot Collaboration,"INTELLIGENT ROBOTICS AND APPLICATIONS, ICIRA 2019, PART VI",Lecture Notes in Artificial Intelligence,,,,12th International Conference on Intelligent Robotics and Applications (ICIRA),"AUG 08-11, 2019","Shenyang, PEOPLES R CHINA","Natl Nat Sci Fdn China,Springer,Chinese Acad Sci, Shenyang Inst Automat,Huazhong Univ Sci & Technol,Shanghai Jiao Tong Univ,Univ Portsmouth,Shenyang Assoc Sci & Technol",,,,,,,,,"Fu, Jian/AFY-2041-2022",,,,,,,,,,,,,,0302-9743,1611-3349,978-3-030-27529-7; 978-3-030-27528-0,,,,2019,11745,,,,,,701,714,,10.1007/978-3-030-27529-7_59,http://dx.doi.org/10.1007/978-3-030-27529-7_59,,,,,,,,,,,,,WOS:000719783200059,View Full Record in Web of Science
C,"Wang, JP; Miao, R; Ma, J; Shi, H",,,IEEE,"Wang, Jiangping; Miao, Rui; Ma, Jia; Shi, Hang",,,Search-based motion planning with task-space motion primitives for hyper-redundant manipulators in cluttered environment,"2024 6TH INTERNATIONAL CONFERENCE ON RECONFIGURABLE MECHANISMS AND ROBOTS, REMAR 2024",,,,,6th International Conference on Reconfigurable Mechanisms and Robots (ReMAR),"JUN 23-26, 2024","Chicago, IL","IEEE,IEEE Robot & Automat Soc,Purdue Univ,IFToMM",,,,,,,,,,,,,,,,,,,,,,,,,979-8-3503-9597-6; 979-8-3503-9596-9,,,,2024,,,,,,,554,559,,10.1109/REMAR61031.2024.10618160,http://dx.doi.org/10.1109/REMAR61031.2024.10618160,,,,,,,,,,,,,WOS:001299035800082,View Full Record in Web of Science
J,"Zhang, HJ; Zhang, YD; Liu, CK; Zhang, ZY",,,,"Zhang, Haojie; Zhang, Yudong; Liu, Chuankai; Zhang, Zuoyu",,,Energy efficient path planning for autonomous ground vehicles with ackermann steering?,ROBOTICS AND AUTONOMOUS SYSTEMS,,,,,,,,,,,,,,,,,"Zhang, Haojie/F-9037-2011","Zhang, Haojie/0000-0002-4486-4754",,,,,,,,,,,,,0921-8890,1872-793X,,,,APR,2023,162,,,,,,,,104366,10.1016/j.robot.2023.104366,http://dx.doi.org/10.1016/j.robot.2023.104366,,FEB 2023,,,,,,,,,,,WOS:000927896600001,View Full Record in Web of Science
C,"Nakazawa, A; Nakaoka, S; Ikeuchi, K; Yokoi, K",,,IEEE; IEEE,"Nakazawa, A; Nakaoka, S; Ikeuchi, K; Yokoi, K",,,Imitating human dance motions through motion structure analysis,"2002 IEEE/RSJ INTERNATIONAL CONFERENCE ON INTELLIGENT ROBOTS AND SYSTEMS, VOLS 1-3, PROCEEDINGS",,,,,IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS 2002),"SEP 30-OCT 04, 2002","LAUSANNE, SWITZERLAND","IEEE Robot & Automat Soc,IEEE Ind Electr Soc,Robot Soc Japan,Soc Instruments & Control Engineers,INRIA Rhone Alpes Grenoble,EPFL Lausanne",,,,,,,,,,,,,,,,,,,,,,,,,0-7803-7398-7,,,,2002,,,,,,,2539,2544,,,,,,,,,,,,,,,,WOS:000179289100414,View Full Record in Web of Science
