Title,Year,DOI
Developing learnability - The case for reduced dimensionality,2013,10.1109/DevLrn.2013.6652571
A kernel-based approach to direct action perception,2012,10.1109/ICRA.2012.6224957
Generalization in Adaptation to Stable and Unstable Dynamics,2012,10.1371/journal.pone.0045075
Evolution of neural symmetry and its coupled alignment to body plan morphology,2011,10.1145/2001576.2001609
Central pattern generators and hormone inspired messages: A hybrid control strategy to implement motor primitives on chain type modular reconfigurable robots,2011,10.1109/ICRA.2011.5980149
Policy search for motor primitives in robotics,2009,
A modular neural model of motor synergies,2012,10.1016/j.neunet.2012.02.003
Development of learning control in robots,2011,10.1109/ICMA.2011.5985697
Impact of discrete corrections in a modular approach for trajectory generation in quadruped robots,2011,10.1063/1.3636776
Simulating the emergence of early physical and social interactions: A developmental route through low level visuomotor learning,2014,10.1007/978-3-319-08864-8_15
Experiments with motor primitives in table tennis,2014,10.1007/978-3-642-28572-1_24
Modulation of motor primitives using force feedback: Interaction with the environment and bimanual tasks,2013,10.1109/IROS.2013.6697172
On the approximate period problem,2014,
Locomotion through reconfiguration based on motor primitives for roombots self-reconfigurable modular robots,2012,
Using reward-weighted imitations for robot reinforcement learning,2009,10.1109/ADPRL.2009.4927549
Efficient sensorimotor learning from multiple demonstrations,2013,10.1080/01691864.2013.814211
Learning table tennis with a mixture of motor primitives,2010,10.1109/ICHR.2010.5686298
Generalization of human grasping for multi-fingered robot hands,2012,10.1109/IROS.2012.6386072
Oscillator-based walking assistance: A model-free approach,2011,10.1109/ICORR.2011.5975352
"Toward simple control for complex, autonomous robotic applications: Combining discrete and rhythmic motor primitives",2011,10.1007/s10514-011-9235-2
Decomposition of limb movement based on muscular coordination during human running,2011,10.20965/jaciii.2011.p0980
Switched latent force models for movement segmentation,2010,
Feedback error learning for rhythmic motor primitives,2013,10.1109/ICRA.2013.6630741
Grasping with vision descriptors and motor primitives,2011,10.1007/978-3-642-19539-6_14
On the kinematic motion primitives (kMPs) - theory and application,2012,10.3389/fnbot.2012.00010
Task-oriented parameter tuning based on priority condition for biologically inspired robot application,2015,10.1155/2015/506491
Using Bayesian dynamical systems for motion template libraries,2009,
Control of quadruped walking robots using motor primitives,2015,10.1142/9789814725248_0028
CEUR Workshop Proceedings,2015,
Learning sequential motor tasks,2013,10.1109/ICRA.2013.6630937
A feature selection method for a sample-based stochastic policy,2014,10.1007/s10015-014-0158-9
Motor primitive discovery,2012,10.1109/DevLrn.2012.6400845
Imitation and reinforcement learning,2010,10.1109/MRA.2010.936952
Interaction primitives for human-robot cooperation tasks,2014,10.1109/ICRA.2014.6907265
Robot learning from demonstration and the problem of target defense by team of unmanned surface vehicles,2014,10.12988/ams.2014.46496
"From Animals to Animats 12 - 12th International Conference on Simulation of Adaptive Behavior, SAB 2012, Proceedings",2012,
Robot learns from human teacher through modified kinesthetic teaching,2014,10.3182/20140313-3-IN-3024.00225
Hexapod robots: New CPG model for generation of trajectories,2012,
Policy search for motor primitives in robotics,2014,10.1007/978-3-319-03194-1_4
Description of sequences of rhythmic motor primitives,2014,10.4028/www.scientific.net/AMR.1016.612
Movement intention detection system for myoelectric control of a prosthetic robotic hand; [Sistema de identificación de intención de movimiento para el control mioeléctrico de una prótesis de mano robótica],2015,10.11144/Javeriana.iyu19-1.siim
Modulation of dynamic movement primitives for biped locomotion,2015,10.1142/9789814725248_0048
Learning new basic movements for robotics,2009,10.1007/978-3-642-10284-4_14
Conclusion,2014,10.1007/978-3-319-03194-1_7
Learning prioritized control of motor primitives,2014,10.1007/978-3-319-03194-1_6
"5th Scandinavian Conference on Information Systems, SCIS 2014",2014,
Human-robot interaction learning using demonstration-based learning and Q -learning in a pervasive sensing environment,2013,10.1155/2013/782043
Learning robot tactile sensing for object manipulation,2014,10.1109/IROS.2014.6943031
